depth,thickness,text,lithology_label,lithostratigraphic_unit_label
-1.433877321,-1.172147214,土黄色，垂直节理发育，有植物根部化石,0,0
-1.206266581,1.904915681,灰绿色，有次园状，成分复杂，大小不等的小砾石，风化强烈,2,1
-1.175516521,0.686042988,灰绿色，砾状结构，砾石成分复杂大小不等次园状，胶结分选较差石英，燧石为主,1,1
-1.139842431,0.776133004,灰绿色，分选较好，钙泥质胶结，石英为主，长石次之，松软，有紫红色,3,1
-1.120447785,0.406853168,灰绿色，砾石成分主要为石英，隧石类有火成岩，大小不等，次园状，胶结松软,2,1
-1.084673205,0.77783969,灰绿色，钙泥质胶结，泥质较多，松软，分选较好，石英为主，岩屑，长石次之,3,1
-1.074825147,-0.002698754,灰绿色，含少量次园状，石英类砾石，分选、胶结一般，石英岩屑为主，长石次之,2,1
-1.031051531,0.90032598,灰绿色，钙泥质胶结，石英、岩屑为主，长石次之，胶结一般,3,1
-1.011958357,0.397372841,灰绿色，岩屑，石英为主，砾石大小不等，次园状,2,1
-1.006531876,-0.361890657,灰绿色，砾石大小不等，次园状，次棱角状，石英，隧石类,1,1
-0.992865182,0.195178819,灰绿色，含泥质较多，分选、胶结较好，岩芯完整，石英为主,3,1
-0.805993247,1.784374955,灰绿色，砾状结构，砾石成分多为石英类有火成岩，次园状，大小不等，胶结一般，砂粒充填,1,1
-0.803983439,-0.958510975,灰白色，钙泥质胶结，波状层理，分选一般，胶结较好,3,5
-0.801973631,-0.958510975,浅灰色，泥质胶结，波状层理，夹褐色泥岩薄层，有煤线，有化石,4,5
-0.797692741,-0.504555325,灰色，带绿色，高岭质，有化石，有煤屑、煤线，有滑面,5,5
-0.79351234,-0.518838672,黑色，光泽较暗，比重小，碎块状,6,5
-0.791201061,-0.874710583,深灰色，块状，高岭质,5,5
-0.784126538,-0.202163636,黑色，块状，比重小，弱玻璃光泽，生裂隙发育,6,5
-0.781976043,-0.917949438,灰色，波状层理，泥质胶结，有化石，分选较好，含泥较多,4,5
-0.77667015,-0.37541714,灰白色，石英为主，水平波状层理，分选一般，钙泥质胶结,3,5
-0.767284348,-0.031707088,灰色，块状，高岭质，有滑面,5,5
-0.764872578,-0.84918229,灰白色，含泥较多，石英为主，水平层理，分选一般，钙泥质胶结,3,5
-0.76286277,-0.958510975,灰色，块状，高岭质，有化石,5,5
-0.761254924,-1.092204082,黑色，块状，比重小，弱玻璃光泽结构：0.45（0.20)(0.15),6,5
-0.757838251,-0.640087228,灰白色，波状层理，有煤屑，泥质胶结，有化石，分选一般,4,5
-0.748030388,-0.005166811,灰色，浅灰色，波状层理，高岭质有滑面，含砂多,5,5
-0.74382989,-0.515954845,灰白色，石英为主，分选较好，水平层理，分选较好，钙泥质胶结,3,5
-0.738604389,-0.38460595,灰色，含砂量多，水平波状层理，有化石,5,5
-0.737599485,-1.373387985,黑色，块状，比重小，光泽暗淡,6,5
-0.737097034,-1.787050588,褐色，块状，比重大，含炭质,5,5
-0.726847013,0.021444271,灰色，泥质胶结，水平波状层理，有化石，胶结松软,4,5
-0.712456789,0.226355287,灰白色，石英为主，钙泥质胶结一般，水平层理，分选较好,3,5
-0.709442077,-0.715260359,灰白色，钙泥质胶结，分选好，石英为主，含岩屑，有云母鳞片,3,5
-0.707392073,-0.946640446,灰色，块状，高岭质，有滑面，底部有褐色，有化石,5,5
-0.706628346,-1.53731414,黑色，比重小，弱玻璃光泽，块状及条带状结构，生裂隙发育,6,5
-0.700116569,-0.270987514,灰褐色，块状，有化石,5,5
-0.699312646,-1.50669018,浅灰白色，高岭质，块状,5,5
-0.69006753,-0.040818633,灰白色，岩屑，石英中砂岩，分选好胶结好，完整,3,6
-0.688118016,-0.97676757,灰白色，石英，岩屑粗砂岩，分选一般，胶结好,3,6
-0.630838492,1.063714038,灰白色，岩屑，石英粗砂岩，分选一般，有砾石,2,6
-0.614358067,0.308351118,灰绿色，岩屑粗砂岩，胶结物为绿色钙泥质胶结，分选较好,3,7
-0.603706086,0.04466232,灰绿色，块状，泥质结构，水平纹理，下部含砂量较大,5,7
-0.588331056,0.26715988,灰绿色，岩屑粗砂岩，胶结物为绿色钙泥质胶结，分选较好,3,7
-1.357504623,0.041235802,根据周围及沟下地表观察，本地层为第四系风积砂及第三系黄土层,0,0
-1.343636948,0.204000815,灰绿色夹紫红色，以石英为主，长石次之，含暗色岩屑，分选中等，半坚硬,3,1
-1.325749658,0.357899356,紫红色-灰绿色，以石英为主、长石次之，分选差，次棱角状，泥质胶结，半坚硬,3,1
-1.296084894,0.664257488,灰绿色夹紫红色，以石英为主，长石次之，含暗色岩屑，半坚硬,3,1
-1.278197604,0.357899356,紫红逐渐变为灰绿色，以石英为主、长石次之，含少量暗色岩屑分选差，次棱角状，半坚硬,3,1
-1.260310314,0.357899356,灰绿色，含砂不均，平行层理，平坦状断口，半坚硬,5,1
-1.258200016,-0.929262308,灰色-灰绿色，水平纹理，平坦状断口，半坚硬,4,1
-1.224535734,0.740955101,灰绿色夹紫红色条带，以石英为主、长石次之，含少量暗色岩屑泥质胶结，半坚硬,3,1
-1.204337165,0.431434018,灰绿色夹紫红色，以石英为主，长石次之，含暗色岩屑，分选中等，半坚硬,3,1
-1.194810676,-0.022730541,灰黄色-浅灰色，以石英岩为主，分选差，棱角状，硅质胶结，坚硬,1,1
-1.180118981,0.238887216,灰绿色夹紫红色，以石英为主，长石次之，含暗色岩屑，分选中等，半坚硬,3,1
-1.120146314,1.091648651,灰色-灰绿色，以石英岩、片麻岩、花岗岩及残积物为主，含大量杂基物，基底式胶结,2,1
-1.097395289,0.503478481,灰绿色，以石英为主、长石次之，含暗色岩屑及云母，泥质填隙，坚硬,3,1
-1.079226626,0.367341858,灰绿色-灰黄色，含砂不均，次棱角状，泥质填隙，半坚硬,2,1
-1.069077096,0.01549808,浅灰-灰色，基底式胶结，硅质胶结，坚硬,1,1
-1.059329528,-0.008887847,灰绿色，以石英为主、长石次之，分选中等，次圆状，泥质胶结，坚硬,3,1
-1.025745639,0.739504839,灰色-浅灰色，以石英为主，长石次之，泥质填隙，分选差，次棱角状，坚硬,2,1
-1.013264732,0.140344041,灰绿-浅灰绿色，以石英为主、长石次之，含暗色岩屑，泥质填隙，半坚硬,3,3
